date,pos_location_name,total_sales,orders
2023-06-01,,0,0
2023-06-02,,0,0
2023-06-03,,0,0
2023-06-04,,0,0
2023-06-05,,0,0
2023-06-06,,0,0
2023-06-07,,0,0
2023-06-08,,0,0
2023-06-09,,0,0
2023-06-10,,0,0
2023-06-11,,0,0
2023-06-12,,0,0
2023-06-13,,0,0
2023-06-14,,0,0
2023-06-15,,0,0
2023-06-16,,0,0
2023-06-17,,0,0
2023-06-18,Sandy Neck Provisions,586.17,2
2023-06-19,Sandy Neck Provisions,39.77,1
2023-06-20,Sandy Neck Provisions,52.06,2
2023-06-21,Sandy Neck Provisions,30.81,1
2023-06-22,,0,0
2023-06-23,Sandy Neck Provisions,631.72,12
2023-06-24,Sandy Neck Provisions,957.95,13
2023-06-25,Sandy Neck Provisions,1191.71,13
2023-06-26,Sandy Neck Provisions,601.25,13
2023-06-27,Sandy Neck Provisions,116.89,3
2023-06-28,Sandy Neck Provisions,126.08,5
2023-06-29,Sandy Neck Provisions,305.67,12
2023-06-30,Sandy Neck Provisions,412.48,13
2023-07-01,Sandy Neck Provisions,2274.15,37
2023-07-02,Sandy Neck Provisions,1318.2,45
2023-07-03,Sandy Neck Provisions,916.96,26
2023-07-04,Sandy Neck Provisions,1799.91,32
2023-07-05,Sandy Neck Provisions,1271.08,27
2023-07-06,Sandy Neck Provisions,512.35,23
2023-07-07,Sandy Neck Provisions,2014.99,33
2023-07-08,Sandy Neck Provisions,1170.11,48
2023-07-09,Sandy Neck Provisions,970.11,29
2023-07-10,Sandy Neck Provisions,839.8,17
2023-07-11,Sandy Neck Provisions,971.51,31
2023-07-12,Sandy Neck Provisions,581.98,23
2023-07-13,Sandy Neck Provisions,1399.44,20
2023-07-14,Sandy Neck Provisions,456.33,20
2023-07-15,Sandy Neck Provisions,1339.58,39
2023-07-16,Sandy Neck Provisions,722.57,20
2023-07-17,Sandy Neck Provisions,860.55,17
2023-07-18,Sandy Neck Provisions,1147.22,28
2023-07-19,Sandy Neck Provisions,1758.82,26
2023-07-20,Sandy Neck Provisions,1428.92,39
2023-07-21,Sandy Neck Provisions,925.11,29
2023-07-22,Sandy Neck Provisions,3808.05,68
2023-07-23,Sandy Neck Provisions,2294.65,67
2023-07-24,Sandy Neck Provisions,339.81,14
2023-07-25,Sandy Neck Provisions,1547.42,38
2023-07-26,Sandy Neck Provisions,2235.67,39
2023-07-27,Sandy Neck Provisions,835.02,28
2023-07-28,Sandy Neck Provisions,1731.42,51
2023-07-29,Sandy Neck Provisions,1448.46,37
2023-07-30,Sandy Neck Provisions,2698.35,44
2023-07-31,Sandy Neck Provisions,1313.65,28
2023-08-01,Sandy Neck Provisions,1603.27,36
2023-08-02,Sandy Neck Provisions,1281.03,29
2023-08-03,Sandy Neck Provisions,2727.18,52
2023-08-04,Sandy Neck Provisions,1546.29,29
2023-08-05,Sandy Neck Provisions,2860.61,52
2023-08-06,Sandy Neck Provisions,2528.94,47
2023-08-07,Sandy Neck Provisions,728.12,17
2023-08-08,Sandy Neck Provisions,756.33,15
2023-08-09,Sandy Neck Provisions,823.67,26
2023-08-10,Sandy Neck Provisions,505.98,13
2023-08-11,Sandy Neck Provisions,2154.85,55
2023-08-12,Sandy Neck Provisions,3464.04,55
2023-08-13,Sandy Neck Provisions,1420.34,27
2023-08-14,Sandy Neck Provisions,766.3,30
2023-08-15,Sandy Neck Provisions,422.27,13
2023-08-16,Sandy Neck Provisions,341.13,16
2023-08-17,Sandy Neck Provisions,1057.76,19
2023-08-18,Sandy Neck Provisions,600.09,20
2023-08-19,Sandy Neck Provisions,3067.29,58
2023-08-20,Sandy Neck Provisions,3298.93,59
2023-08-21,Sandy Neck Provisions,958.05,26
2023-08-22,Sandy Neck Provisions,357.98,17
2023-08-23,Sandy Neck Provisions,364.8,16
2023-08-24,Sandy Neck Provisions,827.29,24
2023-08-25,Sandy Neck Provisions,419.28,11
2023-08-26,Sandy Neck Provisions,885.76,36
2023-08-27,Sandy Neck Provisions,1212.06,25
2023-08-28,Sandy Neck Provisions,123.15,10
